,Question,Answer
177236,"
   انا لا اعلم ولكني لم استطع تكوين سؤال بالفصحى فكتبت لك ذاك السؤال 
هاهاهاهاهاها (الضحك باافصحى)
  ","

   هههههههه الضحك بالفصحي يوازي الضحك بالعامية
   
   لقد اذهلتني🌚هههههه
  
"
177237,"
   وجهة نظرك لا تعجبني
  ","

   من اي ناحية
  
"
177238,"
   لماذا
  ","

   ألا تعلم ان هذا اكثر سؤال اكرهه
   
   علل!
   
   فهناك الكثير من الاسباب التي لا استطيع ان اجملها في جواب واحد
  
"
177239,"
   @""- منشنُ٫شخص وتكلم عنه؟🌝❤️
  ","

   من غير منشن بتوصل
   
   مرحبا ..
   
   انا الآن و اليوم و حتى فيما بعد احبك بالرغم من تصرفاتك الطائشة و مواقفك السيئة ، عارف ليش؟ لأن احسك رجل غير مُمل أبدآ و بعيون عسليّة و بضحكة رنانّة ترّن بالقلب رنّ و تطرب العقل ، هالشي بيغفرلك دايمآ لو قلنا الصراحة.
   
   اسمع ، انّه لمن السخيف حقآ ان احبك بكل هذا النُبل و تبادلني انت كل هذا الصمت ، ليس غباء مني على فكرة إنمّا عدم تقدير للنِعم منك انت.
   
   بس بقول.
  
"
177240,"
   اجبلك صمغ؟؟
  ","

   انه لا يجدي نفعا 😯
  
"
177241,"
   بس هيك
  ","

   طيب
  
"
177242,"
   فايبر وتانغو ؟
  ","

   وبعدين
  
"
177243,"
   طب والفيس والسناب والimo والواتس ردي 😑😑😑😑😑😑😑😑😑😑😑😑
  ","

   واتس هه
  
"
177244,"
   غورشروس😐
  ","

   اتس مين بيباي☺
  
"
177245,"
   متابعك
  ","

   ما في باك
   
   لا هون ولا عالانستا يلا شئلب ☺
  
"
177246,"
   الله يسامحك خلص باي بس راجع 👆👆👆
  ","

   اوك غورشروس فور ايفر
  
"
177247,"
   فوفو .. بس عشان اللطش 😜
  ","

   وجهك ما بدي اشوفو
   
   لطش يلطشك😂
  
"
177248,"
   الله يسلمك 
ع فكرة الانسان بمرق باوقات بضايق فيها وبتصير نفسيتو مش بزيادة 
بس الحل الوحيد اللجوء الى الله سبحانه 
وبعدها بتتريحي من كلشي انشالله
  ","

   انشاء الله اكيد ونعم بالله
  
"
177249,"
   ليش كاتبة im broken??خير سلامتك فيكي شي
  ","

   سلامة قلبك
  
"
177250,"
   لانو ما رضي يعمل دير 😂😂😂😂😂😂😂😂😂😂😂😂😂
  ","

   قولي فوفووو انتي كمان 😶😶
  
"
177251,"
   من وين انتي يا عسل  ما تجاوبي
  ","

   قول فوفوووو
  
"
177252,"
   مساء الخير
  ","

   مسا النور
  
"
177253,"
   حسابي فارغ , ولم يبقى سوى ما يقارب العشرون شخص وهم انتم , 
ارسلو لي اشخاصا نشيطون لحتى اذكر محاسنكم بعد وفاتكم ايها الفانون !!!
  ","

   هه
   
   ربما تفنى قبلي
   
   سأضع اسمك في البيو الخاص بي ربما يساعدك ذلك
  
"
177254,"
   أليست الحياة مصممة بحيث تخيبك باكرًا؟ هذا هو المغزى..!
  ","

   ان اردت الصراحة؟..فأنا لا اعلم ما هو المغزى الأساسي من هذه الحياة الدنيا
   
   خيبات متكررة ودهاليز سوداء...تخرج من حفرة لتقع بالتي هي أعمق...تقترب من الصعود للقمة فتتعثر وتسقط بالقاع
   
   فتحاول رسم حياة جديدة والبدء من الصفر ..ولكنك في كل مرة تندم على طريقة رسمك ، او بالأحرى نقطة حبر تتلف جميع مخططاتك ...فتلعن الحبر!¡ وما هو الا نتيجة حماقاتك...
   
   لن أطيل أكثر من ذلك فالحياة فانية ولا تستحق اكثر من ذلك
  
"
177255,"
   وانا اقول لله ايضا واتمنى منه ذلك... بأن يزيل العثرات من امامك ويبدلها بورود لكِ 🌹
  ","

   آمين 🌸
   
   ولك بالمثل💙
  
"
177256,"
   توالت وربما ستستمر بالتوالي ,  ولكن تحلي بالصبر وكوني على يقين بأن الجمال سيخرج من هذه الانكسارات , اضحكي وافرحي صغيرة وجميله انتي عيشي حياتك وابتعدي عن ما يزعجك !
  ","

   اعلم ذلك
   
   فلست اقول سوى يا رب أزل همي وأرح قلبي
   
   كل الحب لك💙
   
   اشكر اهتمامك💚
  
"
177257,"
   كفاية بقى😔😔💔💔💔
  ","

   انا المجروح والجارح اغلى ما في حياتي😔😓
  
"
177258,"
   انسي ما مضى وعشي الواقع ! لا تجعلي الامس ينتصر عليك
  ","

   أقصد بكلامي ان الأمس كان اجمل🌸
   
   فانكساراتي توالت علي دفعة واحدة هذه الايام
   
   واشعر انني في غرفة باردة لوحدي
  
"
177259,"
   ماي هيرت وذ يو 😢😔💔💔
سيبك من هم التعليم إسا، تاكلي بوب كورن؟😎
  ","

   ايم بروووكن😔😔
   
   مش عايزا مالي نفس😞😔
  
"
177260,"
   لسانك أربعة وعشرين ساعة طويل وشغال،عند هاي الشغلة سكتي😂💔💔
خلص حبيبي لقد وقعت في الفخ😔
هانت باقيلك اربع سنين وفصل💃😷
  ","

   يب يب للأسف 💔
   
   دنت تنسي سنة التدريب😭😭😭
  
"
177261,"
   عزيزتي الجميله .. انتي ككتاب الاسود لا يليق بك ما اقصده ان الانكسار لا يليق بكِ ايضا !!
  ","

   عزيزي ...
   
   كلنا لا يليق بنا الانكسار
   
   لكننا احيانا نمر ببعض الانكسارات نعود بعدها اقوى مما سبق
   
   آمل ان يعود ما فات
  
"
177262,"
   ما بدك تدخلي الا غير طب أسنان،اعبطي هلئيت😂💔💔
من شو بتشكي الاكاونتنغ😌
ايم جست كيدينغ ها🙊
  ","

   😂😂 ياخي كم مليون مرة حكيتلك مو انا اللي سجلت
   
   بالخط العريض ات وازنت ميييي 😔😔
  
"
177263,"
   مسسآاحةة ♥
  ","

   رحل ...بكل احرف الغياب الثقيلة
   
   ابتعد مسافة كافية اعجز فيها عن قول حبيبي
   
   واشتاق كلمة حبيبتي اشتاقها حد البكاء😔
  
"
177264,"
   ذا سيم بيرسون؟😔
وات هابيند براذر💔😔
  ","

   نو نت هيم ايفري ثينغ از جود 👌😂
   
   بت البيو بروك ماي هارت آند ماي برين اند سيربرم 💔😔
  
"
177265,"
   واي يو ار بروكن😔💔
  ","

   بيكوز سم ون بروك ماي هارت😔
  
"
177266,"
   بدك تعمليلي بلوك؟ 😕
  ","

   متبرية منك 😝😝
  
"
177267,"
   ياخي لا تكوني نفسيه بالله عليكي مالنا 😭💔
  ","
  Go to hell
  
  Another ask=bloke
  "
177268,"
   وله هبله طيري ع دراستك بكره عندك امتحان 😝
  ","
  2wamer tanieh😒
  "
177269,"
   وأي جمَالاً يُضاهي جمَال أسمائنا حين يُنطقها من نُحب <3 !
  ","
  ☺☺
  "
177270,"
   😍😍😍😍😍 ان شاء الله
  ","
  💙☺
  "
177271,"
   ان شاء الله دووم بخيرر.
  ","
  I hope💙🌸
  "
177272,"
   I'm br""OK""en 💪😉😌
  ","

   يا رب❤
  
"
177273,"
   كييفك ميي. شو اخبارك ان شاء الله بخير
  ","

   الحمدلله بخير
  
"
177274,"
   مالك ؟
  ","

   مالني
  
"
177275,"
   جُمعه مُبآركة 💜
مساحة لـِ جـمال گَـلامـگ 💜
  ","

   هو يعجز عن اخبارها ان العابرين على ايامه وهم كثر بالمناسبة...عاجزين عن محوها من ذاكرته المريضة
   
   كل التفاصيل الانثوية الباذخة كانت عاجزة ان تنسيه اياها
   
   هو فقط يعجز عن اخبارها ان الغياب كان مبتذلا اكثر من اللازم
   
   وانه ما كان يجدر به ان يدعها تكبر بعيدا عنه
   
   لتغيير ملامحها ..لينبت الغيم في صدرها ...لتلتقي اعينهما ولا يعرفها
  
"
177276,"
   ""سيستجيّب"" 😊
ف واللّه ما من عبد يتعلق باللّه 
فيخيب في تعلقه أبدا
وما من إنسان يلهمه الله أن يدعوه في كربه
إلا كان موفقًا مجابا
💙ويبقى الله معك ؛ حين لا يَبقى أحد💙
مي
دعوة اليوم لك😊
ارزقها يا الله حلو الحياة، وخير العطاء، وسعة الرزق، وراحة البال، ولباس العافية،وحسن الخاتمه
جمعتك طيبه💙
  ","

   اللهم آمييين آمين
   
   نادر💙 الله يسعدك ويوفقك
   
   ويرزقك اللي بتتمناه😀🌸💙
  
"
177277,"
   💚💛جمعةة مباااركة عليكم اصدقااائي 💚💙
  ","

   جمعتك ابرك🌸
  
"
177278,"
   مهو والله سلس . المهم راجعيه عشان تزبطي منيح فيه .. الله يوفقك 😌💙
  ","

   انشالله
   
   وموفقة انتي كمان 😀💙😘
  
"
177279,"
   😬 ما درستني اشي بس اللي بياخدو عندها السنة حكو انها منيحة بالتصليح ، بس راجعي المادة والامتحان ما بجي صعب ع فكرة 🙄
  ","

   اه منيحة وتعاملها كتير منيح
   
   انا ماخدة الموضوع بسلاسة😂
  
"
177280,"
   مين دكتورك انتِ ؟!
  ","

   دكتورة صبا
  
"
177281,"
   جد ختمتي ولالسا ؟
  ","

   ختمت بس لازم اعمل ريفيجن لكل ايشي والا بنساه 💔
   
   عفكرة كتير سهل بس حفض المصطلحات اللي بغلب مش كتير متمكنة منو
  
"
177282,"
   شكرا 🌹🌹
  ","
  💙💙
  "
177283,"
   تسلميليي 😊
  ","
  😘😘
  "
177284,"
   ادرسي ولي 😓😐👊🏼
  ","

   شو جابك انتي 😂
   
   بتعرفي اني ختمت البيو😇😇
  
"
177285,"
   درالسة😧
  ","

   حاسة بشعورك💔
   
   موفقة حبيبتي
  
"
177286,"
   تابعتك
  ","

   بادلتك
  
"
177287,"
   إذا قلت لگ : 
""طلبگ مجاب "" 
ماذا سوف تطلب ؟ 😅
  ","

   تقدم عني امتحان بكرا☺
  
"
177288,"
   من زمان 😂
  ","

   وين هالغيبة
  
"
177289,"
   جمعه مباركه ❤🙈😃
  ","

   علينا وعليك😊
  
"
177290,"
   وين بتدرسي؟
  ","

   الامريكية
  
"
177291,"
   Follow 😉
  ","
  Back
  "
177292,"
   جمعه مباركه 🙂
  ","
  3laina w 3laik☺
  "
177293,"
   إن كان للخلق سبباً، فهو محمد. صلوا عليه وسلموا تسليما 😍❤ 
جمعتكم مباركة 🌸
  ","

   عليه الصلاة والسلام
   
   جمعتك أبرك
  
"
177294,"

    @lovihdhd
   
   . هااي الانسانة ماا بعرف شو بصير معهاا بس اعملولهااا ريبورت بليييز
  ","

   ليش مالها
  
"
177295,"
   يآربّ  ❤❤
يومّ الجمعة هو خير الأيآم، عندكّ فآكتب لنا الصلاح فيه وردنا الى طاعتك ووفقنا الى ما فيه الخير.. 

جمعة خير وبركة يا رب🌸💙
  ","

   آمين جمعة مباركة
  
"
177296,"
   نِهاْيَةُ أُسْبُوعٍ جَميْلَة ❤️️🌺 ضعوا ما شئتم(             )
  ","

   قلت يوما ان في عينيك شيئا لا يخون
   
   لست أدري كيف خان¡¿
  
"
177297,"
   متخيل قديش صعب تحاول تبعد عن الناس اللي ما بيعطوك قيمة بس بالاخير المرجع الوحيد لشوقك الهم هو صورهم؟💔
  ","
  💔💔💔
  "
177298,"
   آللهم أجعـلهـآ #جمعـة <3
فـرحة لگـل حـزين .. وفـرجاً لگـل مگروب .. وأجـابة لگـل دعـآء ،
#اللهـم_آمين 👐
  ","

   آميبن👐
  
"
177299,"
   Rate : 1.5 /10 
#خلصانة بشياكة
  ","

   مش مزوق
  
"
177300,"
   احكى عن مفاجأه حلوه عملتها لحد وانبسط 😊
او مفاجأه حد عملهالك وانبسطت 
احكى عن حاجه فرحتك 💙
  ","

   لسة من يومين عملنا سيربرايز لصاحبتي بعيد ميلادها😀
  
"
177301,"
   * شفت هآد يلي #بنكد_عليككك كل مآ #يشوفككك ؟
- إختصر من عندكك وبطل شوفو ! 😃
شفت #صآحبككك اللي #بحطم_معنويآتكك و #بوجع_رآسكك ؟ 
- بالنآقص منو ! 😏
شفت لمآ #تمر من #مكآن #تحس_من_جوآ_بحنين_لحدآ ؟
- غير طريقكك ! 😑
لمآ تتعرف ع #شلةةة تكون عندهم #اغلى من #حآلهم ؟
- اوعكك تتركهم !😍

وجمعه مباركه^_^
  ","

   جمعة مباركة
  
"
177302,"
   الله اجعلها جمعة مبشرة لنا بما يسرنا وبكل خير اللهم بارك لنا في أيامنا القادمة وأجعلها أجمل 💕🌺


🌹جمعة مباركة🌹
  ","

   اللهم آمين
  
"
177303,"
   ﺃﺟﻤﻞ ""ﻟﺤﻈـﺔ"" 
ﺣﻴﻦ ﻳﻨﺎﺩﻳﻚ ""ﺍﻟﻨﺒﻲ"" ﺑﺈﺳﻤﻚ ،
ﻓﺘﺴﺄﻟﻪ : ﻛﻴﻒ ﻋﺮﻓﺖ ﺇﺳﻤﻲ ؟!
ﻓﻴﺨﺒﺮﻙ : ﺃﻥ ﺻﻼﺗﻚ ﻋﻠﻲ ﻛﺎﻧﺖ ﺗﺼﻠﻨﻲ

يا حبيبي يا رسول ❤️

❤جمعة مباركة ❤
  ","

   اللهم صل وسلم وبارك عليه💙
  
"
177304,"
   مش هيك ئصدي 
انا بئصد بالنجاح علامة الفل
 الله يسامحك 😢
  ","
  👍
  "
177305,"
   يسعد صباحكم 
جمعة مباركة
  ","

   وصباحك
   
   علينا وعليك🌸
  
"
177306,"
   فولو
  ","

   باك
  
"
